price,year,manufacturer,model,condition,fuel,title_status,transmission,drive,type,paint_color
18900,2020,chevrolet,malibu,excellent,gas,clean,automatic,fwd,sedan,black
16990,2012,lexus,ct 200h premium hatchback,good,hybrid,clean,other,fwd,hatchback,red
19999,2002,ford,pickup,good,diesel,clean,automatic,4wd,pickup,blue
26590,2017,nissan,titan xd single cab sv,good,gas,clean,other,4wd,pickup,white
2995,2001,mitsubishi,montero sport,excellent,gas,clean,automatic,4wd,SUV,green
14990,2020,chevrolet,trax ls,excellent,gas,rebuilt,automatic,fwd,SUV,white
13500,2015,acura,ilx sedan 4d,excellent,gas,clean,automatic,fwd,sedan,white
16880,2012,nissan,titan,good,gas,clean,automatic,4wd,truck,red
6300,2005,chevrolet,suburban,good,gas,clean,automatic,rwd,SUV,custom
36990,2019,chevrolet,silverado 1500 ld,good,gas,clean,other,4wd,pickup,red
8000,2015,hyundai,elantra,good,gas,clean,automatic,fwd,sedan,grey
7500,2014,ford,focus,excellent,gas,rebuilt,automatic,fwd,sedan,silver
4300,2003,mazda,protege5,good,gas,clean,manual,fwd,wagon,black
6990,2008,nissan,xterra,good,gas,clean,automatic,4wd,SUV,grey
4950,2017,honda,civic lx,like new,gas,clean,automatic,rwd,truck,blue
11500,2012,bmw,128i convertible,excellent,gas,clean,automatic,rwd,convertible,black
21590,2016,hyundai,genesis 3.8 sedan 4d,good,gas,clean,automatic,rwd,sedan,white
75000,1966,chevrolet,chevelle convertible,excellent,gas,clean,automatic,rwd,convertible,black
19921,2016,honda,accord sedan ex-l,good,other,clean,automatic,fwd,sedan,red
52997,2018,tesla,model s,excellent,gas,clean,automatic,4wd,hatchback,black
25290,2017,ford,explorer,excellent,gas,clean,automatic,fwd,SUV,white
15590,2016,chevrolet,cruze limited 1lt,good,gas,clean,automatic,fwd,sedan,blue
41999,2016,chevrolet,tahoe ltz,excellent,gas,clean,automatic,4wd,SUV,black
34990,2014,toyota,tacoma double cab pickup,good,gas,clean,other,4wd,pickup,white
18990,2020,chevrolet,spark activ hatchback,good,gas,clean,other,fwd,hatchback,black
21590,2016,hyundai,genesis 3.8 sedan 4d,good,gas,clean,automatic,rwd,sedan,white
6750,2013,nissan,altima,like new,gas,clean,automatic,fwd,sedan,silver
4900,2008,chevrolet,silverado,good,gas,clean,automatic,4wd,pickup,blue
38990,2017,jeep,wrangler unlimited rubicon,good,gas,clean,other,4wd,other,red
5500,2009,jeep,patriot,good,gas,clean,automatic,rwd,SUV,silver
19999,2015,chevrolet,silverado 1500,excellent,gas,clean,automatic,4wd,pickup,silver
22988,2016,dodge,challenger,like new,gas,clean,automatic,rwd,coupe,grey
1650,1999,honda,odyssey,fair,gas,clean,automatic,fwd,mini-van,blue
34900,2012,ram,3500,excellent,diesel,clean,automatic,4wd,truck,white
6000,2007,mercedes-benz,c-class,excellent,gas,clean,automatic,rwd,sedan,black
13995,2013,ford,f-150,good,gas,clean,automatic,rwd,truck,white
25000,2011,toyota,tundra,good,gas,clean,automatic,4wd,truck,white
6990,2011,toyota,camry,excellent,gas,clean,automatic,fwd,sedan,black
16900,2016,honda,accord,excellent,gas,clean,automatic,fwd,sedan,blue
21000,2005,mercedes-benz,sl-class,like new,gas,clean,automatic,rwd,convertible,silver
49000,2019,toyota,tacoma trd pro,excellent,gas,clean,automatic,4wd,truck,black
15000,1975,ford,f350,good,gas,clean,manual,rwd,pickup,blue
15000,2013,honda,civic,like new,gas,clean,automatic,fwd,sedan,silver
11493,2015,hyundai,sonata hybrid limited,excellent,hybrid,clean,automatic,fwd,sedan,silver
53900,2019,chevrolet,2500 lt 4x4 dmax,excellent,diesel,clean,automatic,4wd,pickup,white
4750,2003,buick,lesabre custom,good,gas,clean,automatic,fwd,sedan,silver
32990,2016,jeep,wrangler rubicon sport,good,gas,clean,other,4wd,other,silver
16000,1980,jeep,cj7,excellent,gas,clean,automatic,4wd,truck,red
18900,2018,toyota,prius prime,excellent,hybrid,rebuilt,automatic,fwd,hatchback,white
18590,2014,bmw,2 series 228i coupe 2d,good,gas,clean,other,rwd,coupe,black
22900,2019,nissan,nv2500,excellent,gas,rebuilt,automatic,rwd,van,white
2400,2009,chevrolet,cobalt,good,gas,clean,manual,fwd,sedan,red
9988,2017,hyundai,accent value edition,good,gas,clean,automatic,fwd,sedan,white
19995,2014,ford,f150 lariat 4x4,excellent,gas,clean,automatic,4wd,pickup,white
5500,2005,gmc,yukon denali,good,gas,clean,automatic,4wd,SUV,black
4800,2005,nissan,pathfinder,good,gas,clean,automatic,fwd,SUV,grey
9995,2013,kia,soul,excellent,gas,clean,automatic,fwd,SUV,white
48900,2018,chevrolet,silverado 2500 hd ltz,like new,diesel,rebuilt,automatic,4wd,truck,black
12999,2015,honda,accord lx,good,gas,clean,automatic,fwd,sedan,grey
25590,2020,buick,encore gx select sport,good,gas,clean,automatic,fwd,SUV,red
17495,2014,acura,mdx,excellent,gas,clean,automatic,4wd,SUV,white
3950,2009,dodge,grand caravan,excellent,gas,clean,automatic,fwd,mini-van,white
25990,2018,mazda,mx-5 miata grand touring,good,gas,clean,other,rwd,other,white
3500,2010,toyota,yaris,good,gas,clean,automatic,fwd,coupe,silver
1800,2007,chrysler,town and country,good,gas,clean,automatic,fwd,mini-van,blue
8500,2007,mercedes-benz,ml320 cdi,excellent,diesel,clean,automatic,4wd,SUV,brown
38990,2018,ford,f150 supercrew cab xlt,good,gas,clean,automatic,4wd,pickup,red
5950,2010,ford,taurus sho awd,excellent,gas,clean,automatic,4wd,sedan,black
